name,full_name,age,club,club_id,league,league_id,height_ft,height_ft_decimal,weight_kg,position,secondary_positions,nationality,preferred_foot,potential,pace,shooting,passing,dribbling,defending,physicality,is_goalkeeper,schema
M. Mané,Moussa Mané,21,SSC Bari,1848,Serie B,32,"6'0""",5.97,75,RB,RM,Italy,Right,72,68.4,40.5,57.9,57.7,59.3,67,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
T. Warren,Tyrell Warren,26,Grimsby Town,92,League Two,61,"6'0""",6,75,RB,"CB, RM",England,Right,63,67.4,29.6,53,56.7,58.6,80,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
C. Ramos,Carlos Ramos,26,Carabobo FC,110991,Primera Division,2019,"5'10""",5.87,69,CM,"CDM, RW",Venezuela,Right,65,65,51.4,63.7,60.4,63,74,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
N. Mikić,Noa Mikić,18,Dinamo Zagreb,211,Hrvatska nogometna liga,317,"5'9""",5.74,65,RB,RM,Croatia,Right,79,81.2,46,60.3,61,53.7,65,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Marc Domènech,Marc Domènech,18,RCD Mallorca,453,La Liga,53,"6'0""",5.97,70,ST,"LM, LW",Spain,Right,80,62.8,62.9,64,60.7,58.8,55,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Iker Martínez,Iker Martínez,21,Real Sporting de Gijón,459,La Liga 2,54,"5'8""",5.68,67,RB,RM,Spain,Right,72,58.2,34,45.7,58.2,65,60,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
L. Engelns,Luis Engelns,18,SC Paderborn 07,10030,2. Bundesliga,20,"6'2""",6.17,74,CM,"RM, CDM",Germany,Right,78,56,55.6,64.2,62.3,56.5,69,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Chinteș,Alin Chinteș,19,Universitatea Cluj,110751,Liga I,330,"5'9""",5.74,72,RB,"LB, RM",Romania,Right,74,70.6,32.2,58.9,58.6,56.1,74,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
T. Wilson,Tyreke Wilson,25,Shelbourne FC,834,Premier Division,65,"5'8""",5.64,66,LB,"RB, LM",Republic of Ireland,Left,64,69.7,47.2,61,55.2,57.1,65.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Kamara,Abdoulaye Kamara,20,1. FC Saarbrücken,523,3. Liga,2076,"6'0""",6,82,CM,CDM,Guinea,Right,75,67,42.8,66.5,65.1,60.6,57,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
N. Strunck,Nicklas Strunck,25,Bryne FK,1523,Eliteserien,41,"6'1""",6.07,74,CM,,Denmark,Right,65,60,55.9,61.8,63.4,57.5,74,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Dorobanțu,Andrei Dorobanțu,20,Unirea Slobozia,131459,Liga I,330,"5'11""",5.91,75,RB,RM,Romania,Right,69,71.6,49.5,54,59.6,57.7,64,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Palma,Matteo Palma,17,Udinese,55,Serie A,31,"6'4""",6.36,85,CB,,Germany,Right,82,52.8,24,54,55.5,64.7,61.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Y. Oberleitner,Yannick Oberleitner,23,Grazer AK 1902,2015,Bundesliga,80,"6'3""",6.27,78,CB,,Germany,Left,67,65.3,42,59,59.1,59.5,70.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Ackra,Allan Ackra,21,Clermont Foot 63,1815,Ligue 2,17,"6'1""",6.07,75,CDM,CM,France,Right,69,67.6,58.4,63.2,60.4,58.5,67.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
C. Mahoney,Connor Mahoney,28,Barrow,381,League Two,61,"5'9""",5.74,67,RM,"RW, CAM",England,Left,62,74.7,57,58.2,61,36.9,63.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
L. Prasse,Luca Prasse,21,Holstein Kiel,576,2. Bundesliga,20,"5'11""",5.94,73,RM,"LM, CAM, RW",Germany,Right,70,67.2,63.4,60.9,57.3,48.4,61.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
R. Sadiku,Rijad Sadiku,25,FC Botoşani,110752,Liga I,330,"6'2""",6.14,82,CB,RB,Bosnia and Herzegovina,Right,68,55.1,23.5,59,55.5,60,72.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Q. Butler,Quincy Butler,23,WSG Tirol,15040,Bundesliga,80,"5'9""",5.74,67,RW,"ST, RM",United States,Right,68,76,59.8,56.3,63.4,30,36,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Saná Fernandes,Saná Fernandes,19,Lazio,46,Serie A,31,"5'5""",5.41,57,ST,CAM,Portugal,Right,75,84.1,60.5,61,64.1,53.9,36,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
L. Hedlund,Lucas Hedlund,26,GAIS,111594,Allsvenskan,56,"5'11""",5.94,70,ST,,Sweden,Right,63,72.1,62.5,58,59.5,55.8,59,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
L. Bayliss,Lachlan Bayliss,22,Newcastle Jets,111398,A-League Men,351,"5'10""",5.87,75,CAM,"CM, RM",New Zealand,Right,71,74.1,57.5,59.5,63,50,55.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
T. Trummer,Tim Trummer,19,FC Red Bull Salzburg,191,Bundesliga,80,"6'2""",6.2,75,RB,"LB, RM",Austria,Right,75,73.6,53.5,60.7,57.6,56.4,64,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Villamil,Jaime Villamil,32,Gualberto Villarroel SJ,132375,División de Fútbol Profesional,2017,"5'9""",5.77,71,LB,"CB, LM",Bolivia,Left,62,72.9,30.8,60.8,54.5,56.6,74.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Romero,Manuel Romero,24,Instituto Atlético Central Córdoba,110953,Liga Profesional de Fútbol,353,"5'10""",5.87,67,ST,"RW, RM",Paraguay,Right,69,62.5,62.5,54,59.5,64.8,63,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Osella,Alejo Osella,24,Independiente Rivadavia,111020,Liga Profesional de Fútbol,353,"6'3""",6.23,85,RB,"CB, RM",Argentina,Right,69,66.6,24.8,51,56.5,61.2,64,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
T. Ayari,Taha Ayari,20,AIK,433,Allsvenskan,56,"5'10""",5.81,70,LM,"ST, LB",Sweden,Right,74,75.1,58.4,58.7,61.6,35.2,46.4,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
K. Edwards,Khayon Edwards,21,GD Estoril Praia,10020,Primeira Liga,308,"5'11""",5.91,73,ST,,Jamaica,Right,73,68.5,64,51,57.6,57.7,65,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
R. Ramšak,Robert Ramšak,18,Eintracht Braunschweig,110500,2. Bundesliga,20,"6'1""",6.07,78,ST,,Germany,Right,80,68.5,62.6,53,58.9,64.8,68,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
T. McGill,Thomas McGill,25,Brighton & Hove Albion,1808,Premier League,13,"6'1""",6.07,80,GK,,Canada,Right,67,62,60,63,60.3,30.7,61,TRUE,DIV|HAN|KIC|REF|SPD|POS
M. Głogowski,Michal Głogowski,19,Lechia Gdańsk,111091,Ekstraklasa,66,"6'3""",6.23,84,ST,,Poland,Right,71,67.7,59.8,58,60.8,63.8,67.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
F. Rossi,Franco Rossi,23,Cerro Largo,115536,Primera División,338,"5'10""",5.87,76,ST,,Uruguay,Right,71,60.9,66.5,58,54.2,60.7,63,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
W. Omsberg,Wyatt Omsberg,29,New England Revolution,691,Major League Soccer,39,"6'4""",6.33,82,CB,,United States,Right,62,36.8,23.8,53,49.7,62.5,71.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Roaldsøy,Alwande Roaldsøy,21,Hamarkameratene,1756,Eliteserien,41,"6'4""",6.33,80,CM,CAM,Norway,Right,76,54,59.7,63.2,61,59.5,60,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Kurochkin,Anton Kurochkin,21,GAIS,111594,Allsvenskan,56,"5'8""",5.68,70,LM,"RM, LW",Sweden,Right,71,72.6,58.4,57.9,60.7,32.7,59.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
P. Egelund,Patrick Egelund,24,Fredericia,15006,Superliga,1,"5'7""",5.54,63,ST,LW,Denmark,Right,67,63.7,64.3,60,64.1,54.8,34,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Marciano,Marciano,21,UD Almería,1861,La Liga 2,54,"5'11""",5.91,74,ST,RM,Guinea-Bissau,Right,76,80.5,61.4,59,59.2,56.8,70,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
W. Swan,William Swan,24,Bradford City,1804,League One,60,"5'9""",5.74,75,ST,,England,Right,65,75.5,62.1,55,58.5,57.8,62.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Bajamich,Mateo Bajamich,25,Atlético Tucumán,111708,Liga Profesional de Fútbol,353,"5'10""",5.84,75,ST,"LM, CAM",Argentina,Right,65,68.1,66.7,66,61.3,30.9,73.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Kim Min Jun,Kim Min Jun,25,Gangwon FC,112115,K League 1,83,"6'0""",5.97,74,RW,"RM, ST",Korea Republic,Left,65,79.8,60.2,57.5,60.2,23,70.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
C. McManaman,Callum McManaman,34,Wigan Athletic,1917,League One,60,"5'9""",5.74,73,RM,"RW, LM, RB",England,Right,62,65.8,60.1,59.3,61.2,31.5,53.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Lee Han Do,Lee Han Do,31,FC Seoul,982,K League 1,83,"6'1""",6.1,86,CB,,Korea Republic,Right,62,67.4,34.3,57,59.1,59.8,73.4,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Pérez,Agustín Pérez,24,Cerro Largo,115536,Primera División,338,"5'10""",5.84,71,CDM,CM,Uruguay,Right,69,61.7,44.2,61.4,61.9,59.7,62.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
D. Gebuhr,Dario Gebuhr,22,FC Hansa Rostock,27,3. Liga,2076,"6'2""",6.17,86,CB,,Germany,Right,72,61,30.6,46,51.1,63.3,68.4,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Connolly,James Connolly,23,Crewe Alexandra,121,League Two,61,"6'1""",6.07,84,CB,,Wales,Right,67,55.3,23.9,59,56,61,69.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Ángel Recio,Ángel Recio,22,Málaga CF,573,La Liga 2,54,"6'1""",6.07,80,CB,,Spain,Right,72,65.8,27.7,61,49.8,62.2,66.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
L. Mihai,Luca Mihai,21,UTA Arad,110750,Liga I,330,"6'1""",6.07,75,CM,CDM,Romania,Left,67,68,54.1,63.5,61.2,58,69,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
R. Graydon,Ryan Graydon,26,Fleetwood Town,112260,League Two,61,"6'2""",6.17,76,ST,,Republic of Ireland,Right,65,75.2,59.1,60,59.9,60.9,72.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Y. Jaeschke,Yannik Jaeschke,31,TSV Havelse,110678,3. Liga,2076,"6'0""",6.04,79,CAM,"CM, ST",Germany,Right,62,64.5,63.9,61.2,61,35.1,67,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
E. Aytun,Emre Aytun,25,TSV Havelse,110678,3. Liga,2076,"6'0""",6,75,LM,"LB, LW",Türkiye,Left,65,70.8,52.9,59.3,61.9,48.2,73.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Gabriel Cabral,Gabriel Cabral,22,Famalicão,112809,Primeira Liga,308,"6'5""",6.43,90,GK,,Brazil,Right,71,66,59,58,57.2,20.3,65,TRUE,DIV|HAN|KIC|REF|SPD|POS
Killane,Killane,20,UD Las Palmas,472,La Liga 2,54,"6'1""",6.1,78,GK,,Argentina,Right,79,60,63,56,66.1,21.3,55,TRUE,DIV|HAN|KIC|REF|SPD|POS
D. Zema,Darris Zema,18,Toulouse FC,1809,Ligue 1,16,"5'7""",5.54,63,RW,"CAM, RM",Algeria,Left,76,69.2,52.2,62.8,65.6,27,39.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Dolný,Jozef Dolný,33,Csíkszereda Miercurea Ciuc,114546,Liga I,330,"6'0""",5.97,75,ST,CAM,Slovakia,Right,62,63.6,63.8,58,60.6,53.8,69,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
D. Bassi,Daniel Bassi,20,FK Bodø/Glimt,918,Eliteserien,41,"5'10""",5.84,70,LW,"LB, RW, LM",Norway,Right,74,83.5,55,54.5,64.4,48,48.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. van Wyk,Antonio van Wyk,23,SV Ried,780,Bundesliga,80,"5'10""",5.84,70,LW,"ST, LM",South Africa,Right,66,76.5,60.7,57.5,59.6,31,55.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
B. Szabó,Bálint Szabó,24,Csíkszereda Miercurea Ciuc,114546,Liga I,330,"5'10""",5.87,74,CAM,"LW, RW, CM",Hungary,Left,68,66.3,57.5,62.7,62.9,33.1,57.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Ens,Martin Ens,23,SC Verl,110501,3. Liga,2076,"6'2""",6.14,80,CB,CDM,Germany,Right,69,65.7,41.9,64,59.2,61.2,63.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
F. Masuero,Facundo Masuero,25,Defensa y Justicia,111710,Liga Profesional de Fútbol,353,"6'3""",6.23,81,GK,,Argentina,Right,68,64,66,62,54.9,27,63,TRUE,DIV|HAN|KIC|REF|SPD|POS
E. Kouadio,Eddy Kouadio,19,Fiorentina,110374,Serie A,31,"6'3""",6.27,81,CB,,Italy,Right,76,67.8,27,56,56,62.8,65.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
F. Ruíz,Freiver Ruíz,22,Carabobo FC,110991,Primera Division,2019,"5'3""",5.25,61,RW,"ST, RM",Venezuela,Right,69,72.4,58.5,56.7,64.6,22,35.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
R. McConville,Ruairi McConville,20,Norwich City,1792,Championship,14,"6'4""",6.33,89,CB,,Northern Ireland,Right,73,57.4,30.2,55,58.9,61,70.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
R. Jansonas,Romualdas Jansonas,20,FC Arouca,112513,Primeira Liga,308,"6'2""",6.14,82,ST,,Lithuania,Left,74,58.5,63.9,53,56.7,64.7,71.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
C. Keeley,Conor Keeley,27,Drogheda United,1572,Premier Division,65,"6'7""",6.56,89,CB,,Republic of Ireland,Right,64,49,38,50,53.9,59.4,75.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
O. Ejeheri,Ovie Ejeheri,22,FC Midtjylland,1516,Superliga,1,"6'5""",6.4,89,GK,,England,Right,69,61,60,59,60.3,21.7,62,TRUE,DIV|HAN|KIC|REF|SPD|POS
P. Kotal,Pritam Kotal,31,Chennaiyin FC,113297,Super League,2149,"5'10""",5.81,75,CB,"RB, RM",India,Right,62,70,49.2,52,48.4,61.5,73.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Giménez,Juan Giménez,19,Rosario Central,110580,Liga Profesional de Fútbol,353,"6'2""",6.17,74,CB,RB,Argentina,Right,80,46.3,34.5,65,50.1,63.5,61.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
S. Dulić,Sean Dulić,20,TSV 1860 München,33,3. Liga,2076,"6'2""",6.14,82,CB,"RB, RM",Germany,Right,76,71.8,21.2,58,56.2,61.6,66.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
B. Aguilar,Brian Aguilar,22,Lanús,110395,Liga Profesional de Fútbol,353,"5'10""",5.87,76,CB,RB,Argentina,Right,74,51.9,44.9,51,53.7,63.5,64.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Turnbull,Jordan Turnbull,30,Tranmere Rovers,15048,League Two,61,"6'1""",6.07,72,CB,,England,Left,62,50,23.2,50,51.6,60.6,77.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Mateus,Mateus,23,Alverca,717,Primeira Liga,308,"6'6""",6.53,89,GK,,Brazil,Right,72,58,62,64,59.3,24.7,65,TRUE,DIV|HAN|KIC|REF|SPD|POS
Kevyn Vinícius,Kevyn Vinícius,20,CD Nacional,1891,Primeira Liga,308,"6'4""",6.3,85,GK,,Brazil,Left,76,62,58,54,63.3,27,61,TRUE,DIV|HAN|KIC|REF|SPD|POS
A. De Corte,Axl De Corte,19,Club Brugge KV,231,Pro League,4,"6'4""",6.33,80,GK,,Belgium,Left,78,66,60,59,56.5,21.7,62,TRUE,DIV|HAN|KIC|REF|SPD|POS
Rafa Romero,Rafa Romero,21,Sevilla FC,481,La Liga,53,"6'3""",6.23,75,GK,,Spain,Left,73,60,58,62,63.9,32.7,60,TRUE,DIV|HAN|KIC|REF|SPD|POS
N. Kruth,Noah Kruth,22,1. FC Magdeburg,110588,2. Bundesliga,20,"6'1""",6.1,78,GK,,Germany,Right,69,65,64,64,55.2,27.3,63,TRUE,DIV|HAN|KIC|REF|SPD|POS
I. Spiridonov,Igor Spiridonov,36,Bryne FK,1523,Eliteserien,41,"6'3""",6.23,81,GK,,Lithuania,Right,62,59,62,60,60,25.7,62,TRUE,DIV|HAN|KIC|REF|SPD|POS
G. Calvani,Gabriele Calvani,21,Frosinone,111657,Serie B,32,"6'0""",6.04,75,CB,,Italy,Right,69,58.5,32.6,61,59.4,62.5,59.4,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
L. Dennison,Luke Dennison,28,Drogheda United,1572,Premier Division,65,"6'3""",6.23,86,GK,,United States,Right,63,62,62,49,56.9,21,62,TRUE,DIV|HAN|KIC|REF|SPD|POS
H. Stone,Harry Stone,23,Hearts,80,Premiership,50,"6'3""",6.27,70,GK,,Scotland,Right,71,62,60,58,59.6,26.3,58,TRUE,DIV|HAN|KIC|REF|SPD|POS
D. Klein,Daniel Klein,24,FC Augsburg,100409,Bundesliga,19,"6'3""",6.27,84,GK,,Germany,Right,67,61,59,56,61.6,23.3,59,TRUE,DIV|HAN|KIC|REF|SPD|POS
João Carvalho,João Carvalho,21,Sporting Clube de Braga,1896,Primeira Liga,308,"6'4""",6.3,78,GK,,Portugal,Right,70,64,61,59,55.2,20.3,62,TRUE,DIV|HAN|KIC|REF|SPD|POS
J. Samooja,Jasper Samooja,21,Lecce,347,Serie A,31,"6'2""",6.2,84,GK,,Finland,Right,69,62,65,61,56.3,25.7,60,TRUE,DIV|HAN|KIC|REF|SPD|POS
G. Daffara,Giovanni Daffara,20,Avellino,2038,Serie B,32,"6'4""",6.36,75,GK,,Italy,Right,74,59,65,56,56.9,28.3,61,TRUE,DIV|HAN|KIC|REF|SPD|POS
S. Spari,Simon Spari,23,FC St. Pauli,110329,Bundesliga,19,"6'5""",6.43,89,GK,,Austria,Right,71,61,58,61,62.6,24.3,59,TRUE,DIV|HAN|KIC|REF|SPD|POS
P. Pane,Pasquale Pane,35,Avellino,2038,Serie B,32,"6'2""",6.17,78,GK,,Italy,Right,61,59,62,59,57.9,21,61,TRUE,DIV|HAN|KIC|REF|SPD|POS
N. Botis,Nikolaos Botis,21,Olympiacos FC,280,Super League,63,"6'3""",6.27,77,GK,,Greece,Right,71,64,60,55,58.6,30.7,60,TRUE,DIV|HAN|KIC|REF|SPD|POS
G. Swiderski,Grégoire Swiderski,19,Deportivo Alavés,463,La Liga,53,"6'2""",6.14,72,GK,,Canada,Right,77,63,61,60,56.5,25.7,61,TRUE,DIV|HAN|KIC|REF|SPD|POS
A. Shala,Altin Shala,22,FC Sion,110770,Super League,189,"6'0""",6,78,RW,"LW, RM",Kosovo,Right,68,69.3,61.9,59.9,59.3,20,46.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
E. Acquah,Emile Acquah,24,Dundee FC,180,Premiership,50,"6'2""",6.17,84,ST,,England,Right,63,69.3,60.5,49,58.2,62.7,82,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
B. Fredrick,Benjamin Fredrick,20,FCV Dender EH,537,Pro League,4,"6'2""",6.14,80,RB,RM,Nigeria,Right,76,67.1,28.1,56.7,55.3,57.8,62,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
E. Højlund,Emil Højlund,20,FC Schalke 04,34,2. Bundesliga,20,"6'4""",6.3,90,ST,,Denmark,Right,76,71.5,57.9,57,59.8,59.8,76.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
I. Azizi,Ilyas Azizi,17,Toulouse FC,1809,Ligue 1,16,"5'8""",5.68,63,LW,"ST, LM",France,Right,77,76.5,53.5,54.5,64.8,19,47.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Dyche,Max Dyche,22,Northampton Town,1930,League One,60,"6'1""",6.1,83,CB,,England,Right,73,69.1,41.9,55,55.7,58.5,73.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
C. Thomas,Conor Thomas,31,Crewe Alexandra,121,League Two,61,"6'1""",6.07,72,CDM,CM,England,Right,61,63,57.1,57.9,59,58.4,72.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Luís Gomes,Luís Gomes,21,GD Estoril Praia,10020,Primeira Liga,308,"5'8""",5.64,60,CAM,CM,Portugal,Right,70,64.5,46,61,67.8,28.8,37.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
K. Kayaarası,Kerem Kayaarası,19,Antalyaspor,741,Süper Lig,68,"6'1""",6.07,71,ST,,Türkiye,Right,80,71.1,61.8,51,57.2,61.7,65.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
G. Indragoli,Gabriele Indragoli,21,Empoli,1746,Serie B,32,"6'2""",6.17,80,CB,,Italy,Right,73,64,24.4,58,51,62.3,61.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Aleksić,Milan Aleksić,19,Cracovia,110747,Ekstraklasa,66,"5'10""",5.87,71,CM,"CAM, CDM",Serbia,Right,78,66,54.7,63.8,61.3,54.5,55,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Richter,Marc Richter,23,Alemannia Aachen,1826,3. Liga,2076,"5'10""",5.87,75,CAM,"RW, LW, CM",Germany,Right,68,75.9,59.4,61.9,57.8,51.1,60.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
E. Bulut,Emrecan Bulut,22,Çaykur Rizespor,101037,Süper Lig,68,"6'1""",6.07,80,LM,LW,Türkiye,Right,73,68.5,56,58.5,59.9,38.5,56.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
T. Owusu,Tyron Owusu,22,FC Luzern,897,Super League,189,"6'0""",6,77,CM,"CDM, CAM",Switzerland,Right,71,59,50.4,63.2,62.5,59,65,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
I. Mahnashi,Ibrahim Mahnashi,25,Al Qadsiah FC,112391,Pro League,350,"5'9""",5.74,78,CDM,CM,Saudi Arabia,Right,68,65.5,48.9,58,62.3,59.7,64.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Díaz,Melvin Díaz,23,LDU Quito,110986,Serie A,2018,"5'10""",5.81,65,LM,"RM, LW",Ecuador,Left,66,75.5,58,57.5,58.1,43.9,62.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
P. Gál-Andrezly,Peter Gál-Andrezly,35,Csíkszereda Miercurea Ciuc,114546,Liga I,330,"5'8""",5.64,71,RM,"LM, RB",Slovakia,Right,61,62.4,56,57.6,60.3,39.4,71.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Bawwa,Abhaiy Bawwa,29,Mohammedan SC,111633,Super League,2149,"6'1""",6.07,87,CB,,India,Right,61,44.1,42.5,58,54.4,59.5,69.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
S. Abu Al Shamat,Saleh Abu Al Shamat,22,Al Ahli SFC,112387,Pro League,350,"5'7""",5.61,61,RM,"LM, RW",Saudi Arabia,Right,70,77.7,53.4,53.8,61,23.6,64.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Tranziska,Jakob Tranziska,24,1. FC Schweinfurt 05,583,3. Liga,2076,"6'2""",6.2,80,ST,,Germany,Right,68,66.2,60.9,57,58.7,61.8,69.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
L. Vennegoor of Hess.,Lucas Vennegoor of Hess.,19,FC Twente,1908,Eredivisie,10,"6'2""",6.17,73,ST,,Netherlands,Left,79,58.8,60.6,52,59.9,65.7,67,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Yi Teng,Yi Teng,35,Yunnan Yukun,131531,Super League,2012,"6'2""",6.17,83,CB,,China PR,Right,61,33.9,27,64,57.4,59.7,70.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
S. Gourville,Siad Gourville,25,US Boulogne Cote d'Opale,111376,Ligue 2,17,"6'6""",6.5,85,CB,,France,Right,66,63.7,33.1,52,55.6,59.7,69,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
N. Amasifuén,Nicolás Amasifuén,19,Cienciano,111011,Liga 1,2020,"5'9""",5.71,77,CB,,Peru,Left,74,63,32.5,52,54.9,62.8,61.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Walsh,Joe Walsh,23,Queens Park Rangers,15,Championship,14,"6'1""",6.07,78,GK,,England,Right,70,63,65,60,58.3,58.7,56,TRUE,DIV|HAN|KIC|REF|SPD|POS
R. Edmondson,Ryan Edmondson,24,Central Coast Mariners,111396,A-League Men,351,"6'2""",6.17,78,ST,,England,Right,66,56.8,62.4,50,56.9,59.8,84,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Song Yue,Song Yue,33,Dalian Yingbo,132305,Super League,2012,"6'1""",6.07,84,CB,"CM, CDM",China PR,Right,61,64.2,47.2,59,54.9,57.9,71.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Abbey,Moses Abbey,22,Metaloglobus București,114545,Liga I,330,"5'5""",5.38,70,CAM,"RM, RW, CM",Ghana,Left,67,80.5,53.9,59.4,62.5,26.1,50.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
R. Pagano,Riccardo Pagano,20,SSC Bari,1848,Serie B,32,"5'9""",5.74,69,CM,CAM,Italy,Right,71,56,60.2,65.5,65.2,41.3,39,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Srivastyava,Many Srivastyava,29,Mohammedan SC,111633,Super League,2149,"5'7""",5.58,65,RW,RM,India,Right,61,84.6,56.1,51,61.8,25,45.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
R. Weijenberg,Robbin Weijenberg,20,Go Ahead Eagles,100632,Eredivisie,10,"5'11""",5.91,70,CAM,"CM, CDM",Netherlands,Right,72,66.2,50.7,65.8,60.8,35.3,54.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Al Khaibary,Abdulrahman Al Khaibary,37,Al Hazem FC,113222,Pro League,350,"5'8""",5.68,64,CDM,CM,Saudi Arabia,Right,61,40.2,53.5,60.1,58.4,59,63.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
N. Ogidi Nwankwo,Neville Ogidi Nwankwo,22,Telstar,100638,Eredivisie,10,"6'2""",6.17,80,CB,RB,Netherlands,Right,69,75.7,31,52,49,61.7,67,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
